,Başlık,İçerik,Kategori
98,Pendikspor Trabzonspor'u ağırlayacak,"Trendyol Süper Lig'in 26. haftasında Siltaş Yapı Pendikspor, 18 Şubat Pazar günü Trabzonspor'u konuk edecek.",Spor
99,Deaflympics Kış Olimpiyatları'na 36 ülke katılacak,Erzurum'da düzenlenecek 20. Deaflympics Kış Olimpiyatları'na 36 ülkeden sporcu katılacak.,Spor
100,Lider Galatasaray MKE Ankaragücü deplasmanında,"Lider Galatasaray, Trendyol Süper Lig'in 26. haftasında 18 Şubat Pazar günü deplasmanda MKE Ankaragücü ile karşılaşacak.",Spor
101,Ne Kasımpaşa ne Fatih Karagümrük,Trendyol Süper Lig'in 26. haftasında Kasımpaşa sahasında VavaCars Fatih Karagümrük ile 1-1 berabere kaldı.,Spor
102,Nesrin Baş Avrupa şampiyonu oldu,"Romanya'da düzenlenen Avrupa Güreş Şampiyonası'nda milli sporcu Nesrin Baş, kadınlar 72 kiloda altın madalya kazandı.",Spor
103,TFF'den zemin uyarısı,"Türkiye Futbol Federasyonu (TFF), saha zemini bozuk olan statlara sahip kulüplere uyarı yazısı gönderildiğini açıkladı.",Spor
104,VAR'daki hakem konuşmaları yayımlanmaya başlayacak,"Türkiye Futbol Federasyonu (TFF), Trendyol Süper Lig'in 26. haftasından itibaren VAR konuşmalarının kamuoyuyla paylaşılacağını açıkladı.",Spor
105,Bayern Münih futbolcusu Boey sakatlandı,"Almanya Birinci Futbol Ligi (Bundesliga) ekibi Bayern Münih, Galatasaray'dan geçen ay transfer edilen sağ bek oyuncusu Sacha Boey'in sakatlık nedeniyle birkaç hafta sahalardan uzak kalacağını açıkladı.",Spor
106,Biatlon Türkiye Şampiyonası Erzurum'da tamamlandı,"Türkiye Kayak Federasyonunun faaliyet programında yer alan Biatlon Türkiye Şampiyonası, Erzurum'da tamamlandı. İki gün süren organizasyona 13 ilden 94 sporcu katıldı.",Spor
107,Trendyol 1. Lig'de 4 haftalık maç programı açıklandı,"Trendyol 1. Lig'in 24, 25, 26 ve 27. haftasında oynanacak müsabakaların programı belli oldu.",Spor
108,Trabzonspor'da Abdullah Avcı kazanan kadroyu bozmayacak,Trabzonspor'da Siltaş Yapı Pendikspor maçı için geri sayıma geçildi. Teknik direktör Abdullah Avcı'nın Atakaş Hatayspor karşısındaki kazanan kadroyu büyük ölçüde koruması bekleniyor.,Spor
109,Milli atıcı Buğra Selimzade İspanya'da bronz madalya kazandı,"Atıcılıkta, İspanya’nın Granada kentindeki ISSF Havalı Silahlar Dünya Kupası'nda Buğra Selimzade bronz madalya kazandı.",Spor
110,Galatasaray'da gözler Süper Lig'e döndü,"Galatasaray, Trendyol Süper Lig'in 26. haftasında 18 Şubat Pazar günü deplasmanda MKE Ankaragücü ile yapacağı maçın hazırlıklarına başladı.",Spor
111,Süper Lig'de 4 haftalık program açıklandı,"Trendyol Süper Lig'de 27, 28, 29 ve 30. haftaların maç programları belli oldu.",Spor
