,Başlık,İçerik,Kategori
87,"Yılın ilk iki ayında turist sayısı 4,3 milyonu geçti","Kültür ve Turizm Bakanlığı, ocak ve şubat aylarında 4 milyon 341 bin 606 turistin Türkiye'ye geldiğini bildirdi.",Ekonomi
88,"Motosiklet satışları rekora koşuyor: Hedef 1,5 milyon","Trafiğe kaydı yapılan motosiklet sayısı yılın ilk 2 ayında 144 bin 840 olurken, bu trendin sürmesi halinde pazar büyüklüğünün yıl sonunda 1,5 milyon adede ulaşması bekleniyor.",Ekonomi
89,Yemek Sepeti'ne rekabet soruşturması,"Rekabet Kurulu, üye işletmelerin faaliyetlerini zorlaştırdığı gerekçesiyle Yemek Sepeti'ne soruşturma açılmasına karar verdi.",Ekonomi
90,Kapasite kullanım oranı martta geriledi,"İmalat sanayisi genelinde kapasite kullanım oranı, martta geçen aya göre 0,2 puan azalarak yüzde 76,2'ye indi.",Ekonomi
91,Reel Kesim Güven Endeksi martta arttı,"Reel Kesim Güven Endeksi, martta geçen aya göre 2,9 puan artarak 104,4'e yükseldi.",Ekonomi
92,Ocak ayı dış ticaret endeksleri açıklandı,"İhracat birim değer endeksi, ocakta geçen yılın aynı ayına göre yüzde 3,3, ithalat birim değer endeksi ise yüzde 9,3 azaldı.",Ekonomi
93,Kurulan şirket sayısı şubatta azaldı,"Türkiye'de kurulan şirket sayısı, şubatta bir önceki aya göre yüzde 7,5 azalarak 10 bin 1, kapanan şirket sayısı ise yüzde 15,9 artarak 1949 oldu.",Ekonomi
94,Borsa güne yükselişle başladı,"Borsa İstanbul'da BIST 100 endeksi, güne yüzde 0,24 yükselişle 9.162,41 puandan başladı.",Ekonomi
95,TPAO 3 yeni sahada petrol arayacak,"Türkiye Petrolleri Anonim Ortaklığı'na (TPAO), Marmara Denizi'ndeki 3 ayrı bölge için petrol arama ruhsatı verildi.",Ekonomi
96,"79 şirkete ""dış ticaret sermaye şirketi"" statüsü verildi","Ticaret Bakanlığı, bu yıl 79 şirkete ""dış ticaret sermaye şirketi"" statüsü verdi.",Ekonomi
97,Bakan Bolat: Cari işlemler açığımızın 32 milyar dolar civarına düştüğünü göreceğiz,"Ticaret Bakanı Ömer Bolat, “Geçen mayıs ayında 60 milyar dolar olan cari açığı, ocak ayı itibarıyla 37,5 milyar dolara düşürmeyi başardıklarını belirterek, ""İnşallah şubat rakamları açıklandığında, cari işlemler açığımızın 32 milyar dolar civarına düştüğünü göreceğiz"" dedi.",Ekonomi
98,Borsa günü yükselişle tamamladı,"Borsa İstanbul'da BIST 100 endeksi, günü yüzde 2,07 değer kazanarak 9.140,70 puandan tamamladı.",Ekonomi
99,Merkez Bankası'ndan 6 yıl sonra gelen faiz koridoru adımı,"Merkez Bankası, sürpriz bir kararla 500 baz puanlık faiz artırımına gitti ve politika faizini yüzde 50’ye çıkardı. Uzun zaman sonra ilk kez piyasanın da önüne geçen banka, 6 yılın ardından ilk kez faiz koridorunu da genişletti. Peki bu ne anlama geliyor? İşte Merkez Bankasının faiz koridoru serüveni…",Ekonomi
100,"Merkez Bankası rezervleri 127,9 milyar dolar oldu","Türkiye Cumhuriyet Merkez Bankasının (TCMB) toplam rezervleri, 15 Mart haftasında bir önceki haftaya göre 2 milyar 636 milyon dolar azalışla 127 milyar 897 milyon dolara geriledi.",Ekonomi
101,Faiz kararının ardından dolar geriledi,"Türkiye Cumhuriyet Merkez Bankası'nın politika faizi olan bir hafta vadeli repo ihale faiz oranını yüzde 50'ye çıkarmasının ardından, 32,4170 seviyesinde olan dolar/TL, faiz kararı yüzde 1,2 düşüşle 32,0230 seviyesine indi.",Ekonomi
102,TCMB faiz kararını açıkladı,"Türkiye Cumhuriyet Merkez Bankası Para Politikası Kurulu, politika faizi olan bir hafta vadeli repo ihale faiz oranını 500 baz puan artırarak yüzde 50 seviyesine yükseltti.",Ekonomi
103,Bakan Bolat: Özel sektörümüze yeni imkanlar açmaya çalışıyoruz,"Ticaret Bakanı Ömer Bolat, ""Devlet olarak kapsayıcı ticaret anlaşmaları imzalayarak özel sektörümüze yeni imkanlar açmaya çalışıyoruz"" dedi.",Ekonomi
104,Bazı plastik ürünlerin ithalatında gözetim uygulanacak,Bazı plastik ürünlerin ithalatında gözetim uygulamasına gidilmesi kararlaştırıldı.,Ekonomi
105,"""Atık su geri kazanımı"" sanayicinin gündeminde","Sanayicilerin ana gündem maddelerinden birini ""temiz üretim ve ileri atık su geri kazanımı"" oluştururken, daha az su tüketilmesini sağlayan yatırımlar da artıyor.",Ekonomi
